OrderID,OrderDate,Revenue,Profit
1,1/1/2020,202,192
2,1/1/2020,535,190
3,1/1/2020,960,160
4,1/1/2020,370,207
5,1/1/2020,206,105
6,1/2/2020,171,71
7,1/2/2020,800,130
8,1/2/2020,120,384
9,1/2/2020,714,361
10,1/2/2020,221,62
11,1/3/2020,566,230
12,1/3/2020,314,219
13,1/3/2020,430,317
14,1/3/2020,558,365
15,1/3/2020,187,259
16,1/4/2020,472,134
17,1/4/2020,199,45
18,1/4/2020,971,318
19,1/4/2020,763,96
20,1/4/2020,230,156
21,1/5/2020,761,39
22,1/5/2020,408,230
23,1/5/2020,869,259
24,1/5/2020,443,58
25,1/5/2020,591,287
26,1/6/2020,513,226
27,1/6/2020,905,286
28,1/6/2020,485,173
29,1/6/2020,291,61
30,1/6/2020,376,30
31,1/7/2020,260,313
32,1/7/2020,559,117
33,1/7/2020,413,294
34,1/7/2020,121,391
35,1/7/2020,352,249
36,1/8/2020,847,388
37,1/8/2020,956,239
38,1/8/2020,660,84
39,1/8/2020,574,374
40,1/8/2020,158,251
41,1/9/2020,610,347
42,1/9/2020,781,71
43,1/9/2020,575,393
44,1/9/2020,799,395
45,1/9/2020,882,282
46,1/10/2020,289,286
47,1/10/2020,786,378
48,1/10/2020,662,336
49,1/10/2020,975,343
50,1/10/2020,666,173
51,1/11/2020,343,377
52,1/11/2020,931,385
53,1/11/2020,604,159
54,1/11/2020,230,70
55,1/11/2020,584,136
56,1/12/2020,918,65
57,1/12/2020,746,328
58,1/12/2020,120,107
59,1/12/2020,940,227
60,1/12/2020,266,396
61,1/13/2020,373,288
62,1/13/2020,487,108
63,1/13/2020,700,137
64,1/13/2020,415,73
65,1/13/2020,113,135
66,1/14/2020,341,137
67,1/14/2020,876,279
68,1/14/2020,445,94
69,1/14/2020,664,324
70,1/14/2020,997,26
71,1/15/2020,439,385
72,1/15/2020,191,141
73,1/15/2020,466,30
74,1/15/2020,554,367
75,1/15/2020,527,234
76,1/16/2020,608,298
77,1/16/2020,875,47
78,1/16/2020,134,254
79,1/16/2020,305,386
80,1/16/2020,180,332
81,1/17/2020,661,45
82,1/17/2020,971,73
83,1/17/2020,487,48
84,1/17/2020,101,372
85,1/17/2020,489,183
86,1/18/2020,665,289
87,1/18/2020,205,353
88,1/18/2020,871,54
89,1/18/2020,921,305
