title,year,runtime,genre,director,stars,rating,metascore,votes,gross
Satantango,1994,439,Drama,"['Béla Tarr', 'Mihály Vig', 'Putyi Horváth', 'László feLugossy', 'Éva Almássy Albert']","['Mihály Vig', 'Putyi Horváth', 'László feLugossy', 'Éva Almássy Albert']",8.2,,12009,
The Best of Youth,2003,366,Drama,"['Marco Tullio Giordana', 'Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']","['Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']",8.5,89,22687,0.27
Gangs of Wasseypur,2012,321,Action,"['Anurag Kashyap', 'Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']","['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']",8.2,89,100132,
1900,1976,317,Drama,"['Bernardo Bertolucci', 'Robert De Niro', 'Gérard Depardieu', 'Dominique Sanda', 'Francesca Bertini']","['Robert De Niro', 'Gérard Depardieu', 'Dominique Sanda', 'Francesca Bertini']",7.7,70,26537,
Gettysburg,1993,271,Drama,"['Ron Maxwell', 'Tom Berenger', 'Martin Sheen', 'Stephen Lang', 'Richard Jordan']","['Tom Berenger', 'Martin Sheen', 'Stephen Lang', 'Richard Jordan']",7.6,,30449,10.77
The Greatest Story Ever Told,1965,260,Biography,"['George Stevens', 'David Lean', 'Jean Negulesco', 'Max von Sydow', 'Dorothy McGuire', 'Charlton Heston', 'Michael Anderson Jr.']","['David Lean', 'Jean Negulesco', 'Max von Sydow', 'Dorothy McGuire', 'Charlton Heston', 'Michael Anderson Jr.']",6.5,,11194,15.47
Kill Bill: The Whole Bloody Affair,2006,247,Action,"['Quentin Tarantino', 'Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Michael Madsen']","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Michael Madsen']",8.8,,14589,
Zack Snyder's Justice League,2021,242,Action,"['Zack Snyder', 'Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']","['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']",7.9,54,420622,
Hamlet,1996,242,Drama,"['Kenneth Branagh', 'Kenneth Branagh', 'Julie Christie', 'Derek Jacobi', 'Kate Winslet']","['Kenneth Branagh', 'Julie Christie', 'Derek Jacobi', 'Kate Winslet']",7.7,,39161,4.41
Gone with the Wind,1939,238,Drama,"['Victor Fleming', 'George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]","['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",8.2,97,325106,198.68
Love Exposure,2008,237,Action,"['Sion Sono', 'Takahiro Nishijima', 'Hikari Mitsushima', 'Sakura Ando', 'Yutaka Shimizu']","['Takahiro Nishijima', 'Hikari Mitsushima', 'Sakura Ando', 'Yutaka Shimizu']",8,78,15082,
Lagaan: Once Upon a Time in India,2001,224,Drama,"['Ashutosh Gowariker', 'Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']","['Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']",8.1,84,117686,0.07
The Ten Commandments,1956,220,Adventure,"['Cecil B. DeMille', 'Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']","['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']",7.9,,74814,93.74
Heaven's Gate,1980,219,Adventure,"['Michael Cimino', 'Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']","['Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']",6.7,57,16322,3.48
Gods and Generals,2003,219,Biography,"['Ron Maxwell', 'Stephen Lang', 'Robert Duvall', 'Jeff Daniels', 'Donzaleigh Abernathy']","['Stephen Lang', 'Robert Duvall', 'Jeff Daniels', 'Donzaleigh Abernathy']",6.2,30,16879,12.87
Mohabbatein,2000,216,Drama,"['Aditya Chopra', 'Amitabh Bachchan', 'Shah Rukh Khan', 'Uday Chopra', 'Jugal Hansraj']","['Amitabh Bachchan', 'Shah Rukh Khan', 'Uday Chopra', 'Jugal Hansraj']",7,,31679,
Jodhaa Akbar,2008,213,Action,"['Ashutosh Gowariker', 'Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Sonu Sood', 'Poonam Sinha']","['Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Sonu Sood', 'Poonam Sinha']",7.5,69,33836,3.44
Ben-Hur,1959,212,Adventure,"['William Wyler', 'Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']","['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",8.1,90,246906,74.7
It's a Mad Mad Mad Mad World,1963,210,Action,"['Stanley Kramer', 'Spencer Tracy', 'Milton Berle', 'Ethel Merman', 'Mickey Rooney']","['Spencer Tracy', 'Milton Berle', 'Ethel Merman', 'Mickey Rooney']",7.5,59,44296,46.3
Kabhi Khushi Kabhie Gham...,2001,210,Drama,"['Karan Johar', 'Shah Rukh Khan', 'Kajol', 'Amitabh Bachchan', 'Hrithik Roshan']","['Shah Rukh Khan', 'Kajol', 'Amitabh Bachchan', 'Hrithik Roshan']",7.4,,52884,2.9
The Irishman,2019,209,Biography,"['Martin Scorsese', 'Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']","['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']",7.8,94,409637,7
Exodus,1960,208,Action,"['Otto Preminger', 'Paul Newman', 'Eva Marie Saint', 'Ralph Richardson', 'Peter Lawford']","['Paul Newman', 'Eva Marie Saint', 'Ralph Richardson', 'Peter Lawford']",6.7,70,10613,18.97
War and Peace,1956,208,Drama,"['King Vidor', 'Audrey Hepburn', 'Henry Fonda', 'Mel Ferrer', 'Vittorio Gassman']","['Audrey Hepburn', 'Henry Fonda', 'Mel Ferrer', 'Vittorio Gassman']",6.7,,10513,12.5
