movie,certificate
Satantango,Not Rated
The Best of Youth,R
Gangs of Wasseypur,Not Rated
1900,Unrated
Gettysburg,PG
The Greatest Story Ever Told,G
Kill Bill: The Whole Bloody Affair,Not Rated
Zack Snyder's Justice League,R
Hamlet,PG-13
Gone with the Wind,Passed
Love Exposure,Unrated
Lagaan: Once Upon a Time in India,PG
The Ten Commandments,G
Heaven's Gate,R
Gods and Generals,PG-13
Mohabbatein,Not Rated
Jodhaa Akbar,Not Rated
Ben-Hur,G
It's a Mad Mad Mad Mad World,G
Kabhi Khushi Kabhie Gham...,Not Rated
The Irishman,R
Exodus,Approved
War and Peace,PG
The Message,PG
Seven Samurai,Not Rated
Hum Aapke Hain Koun..!,TV-14
Andrei Rublev,R
The Godfather Part II,R
Malcolm X,PG-13
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",Not Rated
The Lord of the Rings: The Return of the King,PG-13
Giant,G
Ryan's Daughter,R
Spartacus,PG-13
Doctor Zhivago,PG-13
MSG: The Messenger of God,
Winter Sleep,Not Rated
Schindler's List,R
Reds,PG
The Birth of a Nation,TV-PG
Titanic,PG-13
The Right Stuff,PG
Kabhi Alvida Naa Kehna,Not Rated
Veer-Zaara,Not Rated
Avatar: The Way of Water,PG-13
Maine Pyar Kiya,Not Rated
Nixon,R
Cleopatra,G
Gandhi,PG
Grindhouse,R
Pardes,Not Rated
Wyatt Earp,PG-13
The Green Mile,R
Children of Paradise,Not Rated
Swades,Not Rated
JFK,R
Never Look Away,R
Babylon,R
Fanny and Alexander,R
Magnolia,R
The Wild Pear Tree,
Short Cuts,R
Nanban,Not Rated
Sivaji,Not Rated
Hum Dil De Chuke Sanam,Not Rated
I,Not Rated
Dasavatharam,Not Rated
RRR,Not Rated
Nayak: The Real Hero,Not Rated
King Kong,PG-13
Bhaag Milkha Bhaag,Not Rated
The Leopard,PG
Kal Ho Naa Ho,Not Rated
Hey Ram,Not Rated
Lakshya,Not Rated
Tess,PG
Ghajini,Not Rated
Velayudham,Not Rated
Red Beard,Not Rated
Barry Lyndon,PG
Indian,Not Rated
Devdas,Not Rated
Jilla,Not Rated
M.S. Dhoni: The Untold Story,Not Rated
The Deer Hunter,R
Dil Chahta Hai,Not Rated
Kwaidan,Not Rated
Pearl Harbor,PG-13
Arjun Reddy,Not Rated
The Sand Pebbles,PG-13
Batman v Superman: Dawn of Justice (Ultimate Edition),R
El Cid,Approved
Main Hoon Na,Not Rated
Avengers: Endgame,PG-13
Anniyan,Not Rated
Dances with Wolves,PG-13
Fiddler on the Roof,G
Dilwale Dulhania Le Jayenge,Not Rated
Sunshine,R
Baghban,Not Rated
Oppenheimer,R
The Wolf of Wall Street,R
Bound by Honor,R
Blue Is the Warmest Colour,NC-17
The Barber of Siberia,
The Diary of Anne Frank,Approved
Dil To Pagal Hai,Not Rated
Inland Empire,R
Asoka,R
The Lord of the Rings: The Two Towers,PG-13
Rocco and His Brothers,Not Rated
Mr. India,
Drive My Car,Unrated
Pushpa: The Rise - Part 1,
Master,Not Rated
Beau Is Afraid,R
Bigil,Not Rated
Thalaivaa,Not Rated
The Lord of the Rings: The Fellowship of the Ring,PG-13
"The Good, the Bad and the Ugly",Approved
Casino,R
Dogville,R
The Longest Day,G
Darr,Not Rated
Meet Joe Black,PG-13
Mutiny on the Bounty,Not Rated
Valimai,Not Rated
Mahanati,Not Rated
The Message,PG
Kuch Kuch Hota Hai,Not Rated
Waterworld,PG-13
The Postman,R
Super Deluxe,Not Rated
Border,Not Rated
The Batman,PG-13
Jhund,
Grand Prix,Approved
Jab Tak Hai Jaan,Not Rated
The Godfather,R
Baazigar,Not Rated
Ghajini,Not Rated
Lucifer,Not Rated
A Bridge Too Far,PG
Baadshah,
Karan Arjun,
Around the World in 80 Days,G
Alexander,R
Sairat,Not Rated
Jo Jeeta Wohi Sikandar,Not Rated
Sarfarosh,Not Rated
La Dolce Vita,Not Rated
Deewaar,Not Rated
A Hidden Life,PG-13
Khakee,Not Rated
Enthiran,Not Rated
Agneepath,Not Rated
Sarpatta Parambarai,
Lion of the Desert,PG
Yi Yi: A One and a Two...,Not Rated
Bharath Ane Nenu,Not Rated
The Wandering Earth II,
Kabir Singh,Not Rated
The Great Escape,Approved
Athadu,Not Rated
The Sound of Music,G
Hridayam,
Patton,GP
Mersal,Not Rated
Cloud Atlas,R
Kaho Naa... Pyaar Hai,Not Rated
Dhoom 3,Not Rated
Bangalore Days,Not Rated
Jigarthanda,Not Rated
Farewell My Concubine,R
The Unbearable Lightness of Being,R
Petta,Not Rated
Quo Vadis,Not Rated
Koi... Mil Gaya,Not Rated
Don,Not Rated
The Kashmir Files,Not Rated
3 Idiots,PG-13
Satya,Not Rated
Raatchasan,Not Rated
Rangasthalam 1985,Not Rated
The Best Years of Our Lives,Approved
The Blue Elephant,Not Rated
1: Nenokkadine,Not Rated
My Fair Lady,G
The Thin Red Line,R
The Aviator,PG-13
Dookudu,Not Rated
Gadar: Ek Prem Katha,Not Rated
Jersey,
Dil Dhadakne Do,Not Rated
Sultan,Not Rated
Saaho,Not Rated
Manichithrathazhu,Not Rated
Interstellar,PG-13
Saving Private Ryan,R
Vaaranam Aayiram,Not Rated
The Legend of 1900,R
John Wick: Chapter 4,R
The Hobbit: An Unexpected Journey,PG-13
Pirates of the Caribbean: At World's End,PG-13
The Horse Whisperer,PG-13
It Chapter Two,R
Varisu,Not Rated
Bairavaa,Not Rated
The Hateful Eight,R
Laurence Anyways,Not Rated
The Big Blue,PG
To Father with Love,Not Rated
Rocky Aur Rani Kii Prem Kahaani,Not Rated
Yennai Arindhaal,Not Rated
Fanaa,Not Rated
7 Aum Arivu,Not Rated
Baahubali 2: The Conclusion,Not Rated
Underground,Not Rated
Rang De Basanti,Not Rated
Solaris,PG
Ponniyin Selvan: Part I,Not Rated
Gangs of New York,R
Rab Ne Bana Di Jodi,Not Rated
Akhanda,
Jaadugar,TV-14
Fashion,Not Rated
Battle of the Bulge,Not Rated
The Good Shepherd,R
Chalte Chalte,Not Rated
Brahmastra Part One: Shiva,Not Rated
Blonde,NC-17
Kaththi,Not Rated
The Big Country,Passed
The Curious Case of Benjamin Button,PG-13
Guru,Not Rated
Don,Not Rated
Once Upon a Time in the West,PG-13
Django Unchained,R
Thuppakki,Not Rated
Boyhood,R
Leila's Brothers,
My Name Is Khan,PG-13
Soldier of Orange,R
Aankhen,Not Rated
The Patriot,R
The Towering Inferno,PG
Don,
Australia,PG-13
Interreflections,
Transformers: Age of Extinction,PG-13
Jai Bhim,TV-MA
777 Charlie,
The Dark Knight Rises,PG-13
Sardar Udham,TV-MA
Vada Chennai,Not Rated
Blade Runner 2049,R
Pokiri,Not Rated
24,Not Rated
Munich,R
The Last Temptation of Christ,R
Ponniyin Selvan: Part Two,Not Rated
A Passage to India,PG
How the West Was Won,G
Padmaavat,Not Rated
Chup Chup Ke,Not Rated
Paint Your Wagon,PG-13
Zero,Not Rated
Sita Ramam,
Drishyam,Not Rated
Bajrangi Bhaijaan,Not Rated
Mission: Impossible - Dead Reckoning Part One,PG-13
The Life and Death of Colonel Blimp,Not Rated
Manam,Not Rated
The Last Emperor,PG-13
Intolerance,Passed
Mahaan,
Dil Se..,Not Rated
Troy,R
No Time to Die,PG-13
Palm Trees in the Snow,
Ala Vaikunthapurramuloo,Not Rated
Race Gurram,Not Rated
Raajneeti,Not Rated
American Honey,R
Mujhse Shaadi Karogi,
Sarkar,Not Rated
Yes Boss,
Toofaan,
Kranti,
Jana Gana Mana,
Ran,R
Stalker,Not Rated
Sholay,Not Rated
Malik,
Avatar,PG-13
Kagemusha,PG
Watchmen,R
The Godfather Part III,R
Ayan,Not Rated
'83,
The English Patient,R
Qayamat Se Qayamat Tak,
Toni Erdmann,R
Muhammad: The Messenger of God,
Ghulam,Not Rated
Titus,R
Any Given Sunday,R
The Alamo,Passed
Om Shanti Om,Not Rated
Conquest 1453,Not Rated
Josh,Not Rated
Sarkaru Vaari Paata,Not Rated
The Bridge on the River Kwai,PG
Anatomy of a Murder,Not Rated
The Hobbit: The Desolation of Smaug,PG-13
Once Upon a Time in Hollywood,R
Pokkiri,Not Rated
Harry Potter and the Chamber of Secrets,PG
Queen Margot,R
Silence,R
Enter the Void,Not Rated
Out of Africa,PG
Bird,R
Ishq,
Black Panther: Wakanda Forever,PG-13
Jagga Jasoos,TV-14
Tiger Lives,Not Rated
The Legend,
Anbe Sivam,Not Rated
Amadeus,R
Thani Oruvan,Not Rated
Drishyam,Not Rated
Ghilli,Not Rated
Haider,Not Rated
Andaz Apna Apna,Not Rated
Nashville,R
The Assassination of Jesse James by the Coward Robert Ford,R
Topsy-Turvy,R
The Great Race,Passed
Yeh Jawaani Hai Deewani,Not Rated
Holiday: A Soldier is Never Off Duty,Not Rated
Vikram Vedha,Not Rated
Indochine,PG-13
Aitraaz,Not Rated
Vivah,Not Rated
Miracle at St. Anna,R
Baahubali: The Beginning,Not Rated
Baby,Not Rated
Breaking the Waves,R
Rockstar,Not Rated
12,PG-13
Eyes Wide Shut,R
Bhool Bhulaiyaa,Not Rated
Elvis,PG-13
Welcome,Not Rated
Dragged Across Concrete,R
Bardo: False Chronicle of a Handful of Truths,R
Laal Singh Chaddha,PG-13
#Home,
96,Not Rated
There Will Be Blood,R
Fitzcarraldo,PG
Karnan,
The Girl with the Dragon Tattoo,R
Minnal Murali,TV-14
Where Eagles Dare,M
Kabhi Haan Kabhi Naa,
TÃ¡r,R
Les MisÃ©rables,PG-13
The Guns of Navarone,Not Rated
Srimanthudu,Not Rated
Bajirao Mastani,Not Rated
The Warrior,R
Until the End of the World,R
House of Gucci,R
No Entry,
2012,PG-13
Ae Dil Hai Mushkil,Not Rated
Jagame Thandhiram,TV-MA
Simmba,Not Rated
Dilwale,Not Rated
Rocketry: The Nambi Effect,
Jersey,Not Rated
Thalapathi,Not Rated
Theeran Adhigaram Ondru,Not Rated
American Gangster,R
The Insider,R
Once Upon a Time in Anatolia,Not Rated
Pelle the Conqueror,PG-13
Gangaajal,Not Rated
Harry Potter and the Goblet of Fire,PG-13
Zodiac,R
Nerkonda Paarvai,Not Rated
"Lust, Caution",NC-17
Zero Dark Thirty,R
Cry Freedom,PG
Theri,Not Rated
Hatari!,Approved
Arrambam,Not Rated
Ali,R
Bhagam Bhag,Not Rated
Khatta Meetha,Not Rated
Premam,
Downfall,R
K.G.F: Chapter 1,Not Rated
Hera Pheri,Not Rated
Munna Bhai M.B.B.S.,Not Rated
The Revenant,R
Scent of a Woman,R
The Wailing,TV-MA
West Side Story,PG-13
Luck by Chance,Not Rated
Bhediya,Not Rated
Brothers,Not Rated
Eternals,PG-13
The Legend of Tomiris,TV-14
Caligula,Unrated
Gladiator,R
Cinema Paradiso,R
Zindagi Na Milegi Dobara,Not Rated
A Woman Under the Influence,R
Omkara,Not Rated
The Legend of Bhagat Singh,Not Rated
Dune,PG-13
Boogie Nights,R
A Prophet,R
Playtime,Not Rated
The Turin Horse,Not Rated
Shyam Singha Roy,TV-MA
Mankatha,Not Rated
Sanju,TV-MA
Life Is a Miracle,Not Rated
Jaane Tu... Ya Jaane Na,
Chachi 420,
Amistad,R
Ragtime,PG
The Physician,R
Toilet: A Love Story,Not Rated
Marighella,
Midnight in the Garden of Good and Evil,R
"New York, New York",PG
Spyder,Not Rated
Partner,Not Rated
Priyotoma,
Mohenjo Daro,Not Rated
Beast,Not Rated
Pulp Fiction,R
Pariyerum Perumal,Not Rated
Amores Perros,R
Love Today,
Evangelion: 3.0+1.01 Thrice Upon a Time,TV-MA
Gully Boy,Not Rated
Super 30,Not Rated
The Last Samurai,R
The Color Purple,PG-13
Hamlet,Approved
Jackie Brown,R
A Star Is Born,Passed
Sanam Teri Kasam,Not Rated
Cold Mountain,R
Little White Lies,Not Rated
God's Crooked Lines,TV-MA
Indiana Jones and the Dial of Destiny,PG-13
The Firm,R
Da 5 Bloods,R
War,Not Rated
1492: Conquest of Paradise,PG-13
Krrish,Not Rated
Transformers: Dark of the Moon,PG-13
Superman Returns,PG-13
Transformers: The Last Knight,PG-13
Soorarai Pottru,TV-MA
The Legend of Maula Jatt,
Prisoners,R
PK,Not Rated
Let's Go! India,Not Rated
The Death of Mr. Lazarescu,R
Empire of the Sun,PG
Harry Potter and the Half-Blood Prince,PG
West Side Story,Approved
Hungama,Not Rated
Lolita,Not Rated
Oliver!,G
Phir Hera Pheri,
D-Day,Not Rated
The Traitor,R
Vakeel Saab,TV-14
New York,Not Rated
Viswasam,Not Rated
Shivaay,Not Rated
Kabali,Not Rated
Thalaivi,
The Big Bull,
Bang Bang,Not Rated
The Dark Knight,PG-13
Drishyam 2,
Ford v Ferrari,PG-13
All Quiet on the Western Front,Passed
The Girl with the Dragon Tattoo,R
Gangubai Kathiawadi,TV-MA
Ray,PG-13
Harry Potter and the Sorcerer's Stone,PG
Beyond the Hills,Not Rated
The Last Duel,R
Doctor Sleep,R
Star Wars: Episode VIII - The Last Jedi,PG-13
The Majestic,PG
The House That Jack Built,R
Suspiria,R
The Greatest Show on Earth,Passed
Dhoom 2,Not Rated
Bachna Ae Haseeno,Not Rated
Krrish 3,Not Rated
The Departed,R
Ustad Hotel,
Barfi!,Not Rated
Papillon,R
The Bad Sleep Well,Not Rated
The Music Man,G
The Fabelmans,PG-13
Pirates of the Caribbean: Dead Man's Chest,PG-13
Dear Zindagi,Not Rated
Funny Girl,G
Gold,Not Rated
The Square,R
The Admiral,TV-PG
Armageddon,PG-13
Etharkkum Thunindhavan,
Batman v Superman: Dawn of Justice,PG-13
Wonder Woman 1984,PG-13
The Pianist,R
Major,
Moscow Does Not Believe in Tears,PG
Guardians of the Galaxy Vol. 3,PG-13
Karthikeya 2,
The Raid 2,R
Secret Superstar,Not Rated
The Dirty Dozen,Approved
Ludo,TV-MA
Contact,PG
Sophie's Choice,R
Rocket Singh: Salesman of the Year,Not Rated
Kesari,Not Rated
Golmaal: Fun Unlimited,
Tenet,PG-13
Lincoln,PG-13
The Baader Meinhof Complex,R
Guys and Dolls,Not Rated
Nightmare Alley,R
Mr. Turner,R
The Chronicles of Narnia: Prince Caspian,PG
Margaret,R
Mangal Pandey,Not Rated
The Lone Ranger,PG-13
Surongo,
RamLeela,Not Rated
Bhoothnath,Not Rated
Ajab Prem Ki Ghazab Kahani,Not Rated
Tu Jhoothi Main Makkaar,Not Rated
Exodus: Gods and Kings,PG-13
Race 2,Not Rated
Avengers: Infinity War,PG-13
Das Boot,R
RangiTaranga,Not Rated
Gone Girl,R
The Sacrifice,PG
Hell,NC-17
Pyaar Ka Punchnama,Not Rated
A Time to Kill,R
The Nun's Story,Approved
Raat Akeli Hai,TV-MA
2 States,Not Rated
Race,Not Rated
The Da Vinci Code,PG-13
The Goldfinch,R
Transformers: Revenge of the Fallen,PG-13
Vivegam,Not Rated
Inception,PG-13
Agent Sai Srinivasa Athreya,Not Rated
Spider-Man: No Way Home,PG-13
Into the Wild,R
Vishwaroopam,Not Rated
All Quiet on the Western Front,R
Becket,PG-13
Udta Punjab,Not Rated
Burning,Not Rated
Biutiful,R
Doctor,
Red Cliff,R
Midsommar,R
Brimstone,R
Don 2,Not Rated
Vikrant Rona,Not Rated
Rustom,Not Rated
Spectre,PG-13
Anna and the King,PG-13
Battlestar Galactica,PG
Inherent Vice,R
Ice Station Zebra,G
The Messenger: The Story of Joan of Arc,R
Manikarnika: The Queen of Jhansi,Not Rated
Jug Jugg Jeeyo,
2,Not Rated
Army of the Dead,R
Gehraiyaan,
The Matrix Resurrections,R
Selfiee,
Mirror Game,
Peranbu,Not Rated
Woman in the Dunes,Not Rated
Apocalypse Now,R
Maanaadu,PG-13
Vikram Vedha,Not Rated
Mulholland Drive,R
Captain America: Civil War,PG-13
Thirteen Lives,PG-13
Straight Outta Compton,R
Birdman of Alcatraz,Not Rated
Goodachari,Not Rated
Mission: Impossible - Fallout,PG-13
Magadheera,Not Rated
Traffic,R
Perfume: The Story of a Murderer,R
Sleepers,R
Triangle of Sadness,R
The Girl Who Kicked the Hornet's Nest,R
Irma la Douce,Approved
Badhaai Do,
Bad Boys II,R
Wanted,Not Rated
Anek,
The School for Good and Evil,PG-13
Jurassic World Dominion,PG-13
Bachchhan Paandey,
The Shining,R
Chupke Chupke,Not Rated
The Help,PG-13
Queen,Not Rated
Harry Potter and the Deathly Hallows: Part 1,PG-13
Man on Fire,R
Shiddat,
Elmer Gantry,Approved
Mephisto,Unrated
The Hurricane,R
The Hunger Games: Catching Fire,PG-13
The Flowers of War,R
All About Lily Chou-Chou,Unrated
